iter	Logloss
0	0.6785915015
1	0.6649316361
2	0.6534611547
3	0.642696549
4	0.6335997355
5	0.6240392473
6	0.6157218493
7	0.6076901422
8	0.6015989317
9	0.5952335971
10	0.5895821553
11	0.5850419009
12	0.5802508393
13	0.5758435314
14	0.5723242528
15	0.5691636253
16	0.5662041664
17	0.5637772272
18	0.5612304724
19	0.5590639049
20	0.5575530583
21	0.5553848337
22	0.553957408
23	0.5524950023
24	0.5509808536
25	0.5493305313
26	0.5483940225
27	0.5473650398
28	0.5462335301
29	0.5449888496
30	0.543861641
31	0.5427824231
32	0.5419799832
33	0.5410970639
34	0.5403926732
35	0.5395771778
36	0.5389907236
37	0.5384744726
38	0.5378637256
39	0.5375031281
40	0.5369002238
41	0.5364428783
42	0.5358384381
43	0.5351036783
44	0.5347144389
45	0.5341684048
46	0.5337585413
47	0.5335575474
48	0.5330792153
49	0.5325791216
50	0.5322026552
51	0.5318304248
52	0.5315226074
53	0.5311198501
54	0.5307029007
55	0.53035383
56	0.529997317
57	0.5296839813
58	0.5293105489
59	0.5291174812
60	0.5288470028
61	0.5284050964
62	0.5281635098
63	0.5279166101
64	0.5276772284
65	0.5274414381
66	0.5272438015
67	0.5271395246
68	0.5269291362
69	0.5266251295
70	0.5262878591
71	0.5260619408
72	0.5259459082
73	0.5258462906
74	0.5256649376
75	0.5254886987
76	0.5251913588
77	0.5248701601
78	0.5246464361
79	0.5245219614
80	0.5242967536
81	0.5239582025
82	0.5237350684
83	0.5235049285
84	0.5232912184
85	0.5231556629
86	0.5229486993
87	0.5227678698
88	0.5226105372
89	0.5224084356
90	0.5223448925
91	0.5221682795
92	0.5220073432
93	0.5218329907
94	0.5217416036
95	0.5216584861
96	0.5215288458
97	0.5214078885
98	0.5210589144
99	0.5208766981
100	0.5205065431
101	0.5203287156
102	0.5200984221
103	0.5199539891
104	0.519744079
105	0.5195039865
106	0.5194058975
107	0.5193491139
108	0.519191594
109	0.5190161023
110	0.5189070657
111	0.5186507842
112	0.5184446851
113	0.5183153656
114	0.5180933905
115	0.5179851182
116	0.5177510816
117	0.5176226466
118	0.5173859603
119	0.517185503
120	0.516874196
121	0.5166951535
122	0.5165514681
123	0.5163976988
124	0.5163087901
125	0.5160564156
126	0.5159345446
127	0.5157671729
128	0.5155197609
129	0.515272064
130	0.514973375
131	0.5148170603
132	0.514640594
133	0.5145336486
134	0.5143441423
135	0.514265537
136	0.5141782381
137	0.5140925914
138	0.5140335375
139	0.5138448098
140	0.513732441
141	0.5134487174
142	0.5132890825
143	0.513206271
144	0.513034212
145	0.5127162807
146	0.5125926282
147	0.5123378828
148	0.5121370338
149	0.5119535232
150	0.511819964
151	0.5115682532
152	0.5114215946
153	0.5112900507
154	0.5112047946
155	0.5111396918
156	0.5109259754
157	0.5108157441
158	0.5106441473
159	0.5104642454
160	0.5102456466
161	0.5099189855
162	0.509787703
163	0.5095861
164	0.5094508485
165	0.5092612876
166	0.5091769686
167	0.5089159486
168	0.5088691283
169	0.5087000985
170	0.5084293361
171	0.5083135296
172	0.5080790042
173	0.507944525
174	0.5078161508
175	0.5076901586
176	0.5075622263
177	0.5073473886
178	0.5070980188
179	0.5068801205
180	0.5068016338
181	0.5066688745
182	0.5063733481
183	0.5060767846
184	0.5059603913
185	0.5057444829
186	0.5056360215
187	0.5054721407
188	0.5054114997
189	0.5052795542
190	0.5050578027
191	0.5048145651
192	0.5046474347
193	0.5045573388
194	0.5044483363
195	0.5042898031
196	0.5042035892
197	0.5040177485
198	0.5039850987
199	0.5037293364
