iter	Logloss
0	0.6903471956
1	0.6887521555
2	0.6861423239
3	0.6843547498
4	0.6823443538
5	0.6804762816
6	0.6787009844
7	0.6763455858
8	0.6744844239
9	0.6726825145
10	0.6716211884
11	0.6700021091
12	0.6688190433
13	0.6673967618
14	0.6660409373
15	0.6645391869
16	0.6629330462
17	0.6615534766
18	0.6597589186
19	0.6578068195
20	0.65650716
21	0.6551567755
22	0.6531726242
23	0.652036828
24	0.6507347425
25	0.6496010047
26	0.6485890067
27	0.6468349551
28	0.6451330988
29	0.6435437193
30	0.6425098875
31	0.6413259395
32	0.6395885022
33	0.6378165131
34	0.6362918262
35	0.6352656399
36	0.6333461077
37	0.6315814701
38	0.6302367462
39	0.6295139535
40	0.6283099361
41	0.6264919271
42	0.6249625353
43	0.6234591675
44	0.6219437435
45	0.6203759037
46	0.6190974898
47	0.6178695802
48	0.6175387658
49	0.6163950668
50	0.6149600674
51	0.6144255081
52	0.6130164592
53	0.6123443913
54	0.6113864998
55	0.6099954252
56	0.6084643793
57	0.6074152933
58	0.6063945471
59	0.6055312317
60	0.6044966648
61	0.6032106789
62	0.6022316887
63	0.6021572555
64	0.6003726955
65	0.5991319209
66	0.597840642
67	0.5966646703
68	0.5959100826
69	0.5947220545
70	0.5940971461
71	0.5930180662
72	0.5919587249
73	0.5909682298
74	0.5891309601
75	0.5883458272
76	0.587293433
77	0.5859225381
78	0.5848734888
79	0.5839732326
80	0.5829463479
81	0.5817296492
82	0.580721915
83	0.5792272587
84	0.5782611336
85	0.5776167439
86	0.5763180767
87	0.5750741778
88	0.5736853454
89	0.5731227403
90	0.5714527524
91	0.5703018123
92	0.5693223443
93	0.5683840811
94	0.5672357875
95	0.5664768625
96	0.565757819
97	0.5642381311
98	0.5635442662
99	0.5623299568
100	0.5610804708
101	0.5602935368
102	0.5588462972
103	0.5580928123
104	0.5573906403
105	0.5565355953
106	0.5553384514
107	0.5539576688
108	0.5526240824
109	0.5513094995
110	0.5502809974
111	0.5498585842
112	0.5485438174
113	0.5476334897
114	0.5464560477
115	0.5451384139
116	0.5439176352
117	0.5428754227
118	0.541230834
119	0.539710852
120	0.5389164931
121	0.53763569
122	0.5368023685
123	0.5359702232
124	0.5350072959
125	0.5337320064
126	0.532393421
127	0.5316536832
128	0.530778532
129	0.5294591339
130	0.5289716972
131	0.5279891416
132	0.5268388999
133	0.5261590028
134	0.5249652774
135	0.5241559583
136	0.5229928148
137	0.5219760751
138	0.5208723679
139	0.520232389
140	0.5193480486
141	0.5180611805
142	0.5166132793
143	0.5157886325
144	0.5150696625
145	0.5138575585
146	0.5133408999
147	0.5125629347
148	0.5113015393
149	0.5107326856
150	0.5105959122
151	0.5092651561
152	0.5088461612
153	0.5072359037
154	0.5064657677
155	0.5055771635
156	0.504143083
157	0.5030735967
158	0.5016500288
159	0.5009331539
160	0.5000822993
161	0.4988363052
162	0.4977246217
163	0.4970538403
164	0.4959178604
165	0.4948860502
166	0.4942412194
167	0.493271051
168	0.4924713623
169	0.4911940511
170	0.4900264232
171	0.4887139722
172	0.4876618353
173	0.4862563519
174	0.4849634189
175	0.4840922743
176	0.4830310952
177	0.4819490747
178	0.4811662575
179	0.4804376572
180	0.4796872231
181	0.4790578303
182	0.4776730779
183	0.4765236081
184	0.4756837805
185	0.4749971201
186	0.4738235743
187	0.4728131936
188	0.472296388
189	0.4708966754
190	0.4697857271
191	0.4687132268
192	0.4674719376
193	0.4664088103
194	0.4657596789
195	0.4649250341
196	0.4636923094
197	0.4625107138
198	0.461129049
199	0.459847474
